title_id	title	year	runtime	genre
tt10008784	Bull	2019	108	Drama
tt10009030	Snatchers	2019	96	Comedy,Horror,Sci-Fi
tt10009342	Trouble Makers	2019	85	Comedy,Romance
tt10009434	Family Obligations	2019	81	Comedy,Drama
tt10009878	Encrypted: The Cyber Crime	2019	60	Drama
tt10010814	Turtle	2018	75	Drama
tt10010820	Green Brothers	2017	\N	Action,Thriller
tt10011102	The Sholay Girl	2019	106	Action,Biography,Drama
tt10011146	Blood of Hatred	2016	75	Crime,Drama
tt10011164	Chhand Priticha	2017	134	\N
tt10011206	Dhingana	2017	\N	Comedy
tt10011238	Happy Birthday	2017	\N	\N
tt10011244	My Neighbor Wants Me Dead	2019	51	Comedy,Fantasy,Horror
tt10011336	Lucky Grandma	2019	87	Comedy,Crime,Drama
tt10011534	Pohon Terkenal	2019	96	Drama
tt10011852	Saalaiyoram	2016	125	Drama
tt10012854	P.O.W. Open Air am Meer	2017	\N	Sport
tt10012964	Iris: A Space Opera by Justice	2019	63	Music
tt10013634	Cinderella	2018	150	Musical
tt10014042	Forced Marriage	2018	52	Comedy,Drama
tt10014132	Jai Chhathi Maa	2019	141	Family
tt10014616	Obstáculos Orgullo Y Recompensa	2019	\N	Crime,Thriller,Western
tt10014618	The Deed	2019	\N	\N
tt10014838	The Forgotten	2019	105	Drama,Romance,War
tt10015248	Kader Postasi	2019	104	Drama,Romance
tt10015418	Five Million Dollar Life	2019	112	Mystery
tt10015426	919 Lakeview Drive	2019	\N	Crime
tt10015432	Forest of the Dead Sharks	2019	50	Action,Comedy,Horror
tt10015812	Death Whisper	2019	91	Drama,Horror,Mystery
tt10016254	Skvoznyye Shagi	2018	\N	Drama
tt10016502	Back from 2038	2019	88	Comedy,Fantasy
tt10016532	Ispade Rajavum Idhaya Raniyum	2019	153	Drama,Romance
tt10017020	That's What Friends Are For	2019	120	Drama
tt10017454	The Purple Mist	2019	106	Drama
tt10017460	Egise Taara Juvvalu	2017	95	Drama
tt10017502	Lost Einstein	2018	48	Drama,Sci-Fi
tt10017546	Ila Ayithe Ela	2017	\N	Drama
tt10017566	Bikers Kental 2	2019	94	Action,Adventure,Comedy
tt10017680	P Storm	2019	96	Action,Crime
tt10017956	Gone Kesh	2019	110	Comedy,Drama
tt10018116	Stage 3	2018	90	Action
tt10019402	Finals	2019	122	Drama,Sport
tt10020682	Chicago I'm Home	2019	78	Comedy
tt10021464	100 Kada 10	2019	\N	Comedy
tt10021478	Garud Puran	2019	\N	Comedy
tt10021688	Papers 14: Purge of the Papers	2019	\N	Comedy
tt10021754	Incursão	2019	105	Drama,Mystery
tt10022384	The Protector	2019	126	Comedy,Romance
tt10022684	Anuttara	2018	86	Drama
tt10022830	Error tras Error	2019	\N	Action
tt10022858	Sucker for Love	2019	94	Drama
tt10022864	It Could Be Him	2019	\N	Comedy
tt10022870	SIUAT Sumanth 3	2016	\N	Action
tt10022974	Nemesis	2019	89	Action,Drama,Thriller
tt10023080	Nedunalvaadai	2019	120	Drama
tt10023318	Waiting for the Boatman	2016	45	Drama
tt10023330	Deep Swimmer	2016	45	Drama
tt10023506	Katha Karana Heena	2019	80	Drama,Family
tt10024716	Aghavan	2019	158	Family
tt10025064	The Elusive Elseblades	2019	53	Musical
tt10025196	Dracula	2019	\N	Drama
tt1002563	The Young Messiah	2016	111	Drama,Fantasy
tt10025790	Machiwarla Budha	2017	114	Drama
tt10025972	Maza Algar	2017	\N	\N
tt10026190	Kanchani Aaj Bhi Hai	2019	133	Horror
tt10027174	Saboa	2018	60	Drama
